drug_name,side_effect,side_effect_1,side_effect_2,side_effect_3,side_effect_4,disease_name,clinical_trial_institution
cetuximab,somnolence,headache,cough,renal failure,carcinoma,Adenocarcinoma,Medical University of Vienna
cetuximab,somnolence,headache,cough,renal failure,carcinoma,Complementary component deficiency,Medical University of Vienna
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"IgG receptor I, phagocytic, familial deficiency of",Medical University of Vienna
cetuximab,somnolence,headache,cough,renal failure,carcinoma,Lupus erythematosus,Medical University of Vienna
cetuximab,somnolence,headache,cough,renal failure,carcinoma,Lymphoma,Medical University of Vienna
cetuximab,somnolence,headache,cough,renal failure,carcinoma,Neutropenia,Medical University of Vienna
cetuximab,somnolence,headache,cough,renal failure,carcinoma,Nonsmall cell lung cancer,Medical University of Vienna
cetuximab,somnolence,headache,cough,renal failure,carcinoma,Viral infection,Medical University of Vienna
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"Adenocarcinoma of lung, response to tyrosine kinase inhibitor in, 211980",Medical University of Vienna
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"C1q deficiency, type A",Medical University of Vienna
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"C1q deficiency, type B",Medical University of Vienna
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"C1s deficiency, isolated",Medical University of Vienna
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"Lupus nephritis, susceptibility to",Medical University of Vienna
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"Lymphoma, progression of",Medical University of Vienna
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"Neutropenia, alloimmune neonatal",Medical University of Vienna
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"Nonsmall cell lung cancer, response to tyrosine kinase inhibitor in, 211980",Medical University of Vienna
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"Viral infections, recurrent",Medical University of Vienna
denileukin diftitox,dizziness,headache,pain,dehydration,vasodilatation,"Interleukin-2 receptor, alpha chain, deficiency of",Medical University of Vienna
denileukin diftitox,dizziness,headache,pain,dehydration,vasodilatation,Severe combined immunodeficiency,Medical University of Vienna
denileukin diftitox,dizziness,headache,pain,dehydration,vasodilatation,Combined immunodeficiency,Medical University of Vienna
denileukin diftitox,dizziness,headache,pain,dehydration,vasodilatation,"Combined immunodeficiency, X-linked, moderate, 312863",Medical University of Vienna
denileukin diftitox,dizziness,headache,pain,dehydration,vasodilatation,"Severe combined immunodeficiency, X-linked, 300400",Medical University of Vienna
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Asthma,University of Alabama at Birmingham
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Asthma,University of Michigan Cancer Center
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Complementary component deficiency,University of Alabama at Birmingham
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Complementary component deficiency,University of Michigan Cancer Center
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Dementia,University of Alabama at Birmingham
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Dementia,University of Michigan Cancer Center
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"IgG receptor I, phagocytic, familial deficiency of",University of Alabama at Birmingham
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"IgG receptor I, phagocytic, familial deficiency of",University of Michigan Cancer Center
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Lupus erythematosus,University of Alabama at Birmingham
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Lupus erythematosus,University of Michigan Cancer Center
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Lymphoma,University of Alabama at Birmingham
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Lymphoma,University of Michigan Cancer Center
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Malaria,University of Alabama at Birmingham
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Malaria,University of Michigan Cancer Center
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Migraine,University of Alabama at Birmingham
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Migraine,University of Michigan Cancer Center
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Myocardial infarction,University of Alabama at Birmingham
