drug_name,side_effect,side_effect_1,side_effect_2,side_effect_3,side_effect_4,disease_name,clinical_trial_address_1
cetuximab,somnolence,headache,cough,renal failure,carcinoma,Adenocarcinoma,"University Hospital, Internal Medicine"
cetuximab,somnolence,headache,cough,renal failure,carcinoma,Complementary component deficiency,"University Hospital, Internal Medicine"
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"IgG receptor I, phagocytic, familial deficiency of","University Hospital, Internal Medicine"
cetuximab,somnolence,headache,cough,renal failure,carcinoma,Lupus erythematosus,"University Hospital, Internal Medicine"
cetuximab,somnolence,headache,cough,renal failure,carcinoma,Lymphoma,"University Hospital, Internal Medicine"
cetuximab,somnolence,headache,cough,renal failure,carcinoma,Neutropenia,"University Hospital, Internal Medicine"
cetuximab,somnolence,headache,cough,renal failure,carcinoma,Nonsmall cell lung cancer,"University Hospital, Internal Medicine"
cetuximab,somnolence,headache,cough,renal failure,carcinoma,Viral infection,"University Hospital, Internal Medicine"
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"Adenocarcinoma of lung, response to tyrosine kinase inhibitor in, 211980","University Hospital, Internal Medicine"
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"C1q deficiency, type A","University Hospital, Internal Medicine"
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"C1q deficiency, type B","University Hospital, Internal Medicine"
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"C1s deficiency, isolated","University Hospital, Internal Medicine"
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"Lupus nephritis, susceptibility to","University Hospital, Internal Medicine"
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"Lymphoma, progression of","University Hospital, Internal Medicine"
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"Neutropenia, alloimmune neonatal","University Hospital, Internal Medicine"
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"Nonsmall cell lung cancer, response to tyrosine kinase inhibitor in, 211980","University Hospital, Internal Medicine"
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"Viral infections, recurrent","University Hospital, Internal Medicine"
denileukin diftitox,dizziness,headache,pain,dehydration,vasodilatation,"Interleukin-2 receptor, alpha chain, deficiency of","University Hospital, Internal Medicine"
denileukin diftitox,dizziness,headache,pain,dehydration,vasodilatation,Severe combined immunodeficiency,"University Hospital, Internal Medicine"
denileukin diftitox,dizziness,headache,pain,dehydration,vasodilatation,Combined immunodeficiency,"University Hospital, Internal Medicine"
denileukin diftitox,dizziness,headache,pain,dehydration,vasodilatation,"Combined immunodeficiency, X-linked, moderate, 312863","University Hospital, Internal Medicine"
denileukin diftitox,dizziness,headache,pain,dehydration,vasodilatation,"Severe combined immunodeficiency, X-linked, 300400","University Hospital, Internal Medicine"
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Asthma,UAB Dermatology
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Asthma,University of Michigan Cancer Center
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Complementary component deficiency,UAB Dermatology
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Complementary component deficiency,University of Michigan Cancer Center
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Dementia,UAB Dermatology
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Dementia,University of Michigan Cancer Center
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"IgG receptor I, phagocytic, familial deficiency of",UAB Dermatology
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"IgG receptor I, phagocytic, familial deficiency of",University of Michigan Cancer Center
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Lupus erythematosus,UAB Dermatology
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Lupus erythematosus,University of Michigan Cancer Center
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Lymphoma,UAB Dermatology
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Lymphoma,University of Michigan Cancer Center
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Malaria,UAB Dermatology
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Malaria,University of Michigan Cancer Center
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Migraine,UAB Dermatology
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Migraine,University of Michigan Cancer Center
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Myocardial infarction,UAB Dermatology
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Myocardial infarction,University of Michigan Cancer Center
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Neutropenia,UAB Dermatology
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Neutropenia,University of Michigan Cancer Center
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Sepsis,UAB Dermatology
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Sepsis,University of Michigan Cancer Center
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Viral infection,UAB Dermatology
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Viral infection,University of Michigan Cancer Center
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Asthma, susceptibility to, 600807",UAB Dermatology
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Asthma, susceptibility to, 600807",University of Michigan Cancer Center
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"C1q deficiency, type A",UAB Dermatology
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"C1q deficiency, type A",University of Michigan Cancer Center
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"C1q deficiency, type B",UAB Dermatology
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"C1q deficiency, type B",University of Michigan Cancer Center
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"C1s deficiency, isolated",UAB Dermatology
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"C1s deficiency, isolated",University of Michigan Cancer Center
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Dementia, vascular, susceptibility to",UAB Dermatology
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Dementia, vascular, susceptibility to",University of Michigan Cancer Center
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Lupus nephritis, susceptibility to",UAB Dermatology
