side_effect_2,side_effect_3,side_effect_4,disease_name,clinical_trial_condition_2
cough,renal failure,carcinoma,Adenocarcinoma,Mouth Neoplasms
cough,renal failure,carcinoma,Complementary component deficiency,Mouth Neoplasms
cough,renal failure,carcinoma,"IgG receptor I, phagocytic, familial deficiency of",Mouth Neoplasms
cough,renal failure,carcinoma,Lupus erythematosus,Mouth Neoplasms
cough,renal failure,carcinoma,Lymphoma,Mouth Neoplasms
cough,renal failure,carcinoma,Neutropenia,Mouth Neoplasms
cough,renal failure,carcinoma,Nonsmall cell lung cancer,Mouth Neoplasms
cough,renal failure,carcinoma,Viral infection,Mouth Neoplasms
cough,renal failure,carcinoma,"Adenocarcinoma of lung, response to tyrosine kinase inhibitor in, 211980",Mouth Neoplasms
cough,renal failure,carcinoma,"C1q deficiency, type A",Mouth Neoplasms
cough,renal failure,carcinoma,"C1q deficiency, type B",Mouth Neoplasms
cough,renal failure,carcinoma,"C1s deficiency, isolated",Mouth Neoplasms
cough,renal failure,carcinoma,"Lupus nephritis, susceptibility to",Mouth Neoplasms
cough,renal failure,carcinoma,"Lymphoma, progression of",Mouth Neoplasms
cough,renal failure,carcinoma,"Neutropenia, alloimmune neonatal",Mouth Neoplasms
cough,renal failure,carcinoma,"Nonsmall cell lung cancer, response to tyrosine kinase inhibitor in, 211980",Mouth Neoplasms
cough,renal failure,carcinoma,"Viral infections, recurrent",Mouth Neoplasms
pain,dehydration,vasodilatation,"Interleukin-2 receptor, alpha chain, deficiency of",Mouth Neoplasms
pain,dehydration,vasodilatation,Severe combined immunodeficiency,Mouth Neoplasms
pain,dehydration,vasodilatation,Combined immunodeficiency,Mouth Neoplasms
pain,dehydration,vasodilatation,"Combined immunodeficiency, X-linked, moderate, 312863",Mouth Neoplasms
pain,dehydration,vasodilatation,"Severe combined immunodeficiency, X-linked, 300400",Mouth Neoplasms
nausea,melanoma,vasodilatation,Asthma,Melanoma
nausea,melanoma,vasodilatation,Complementary component deficiency,Melanoma
nausea,melanoma,vasodilatation,Dementia,Melanoma
nausea,melanoma,vasodilatation,"IgG receptor I, phagocytic, familial deficiency of",Melanoma
nausea,melanoma,vasodilatation,Lupus erythematosus,Melanoma
nausea,melanoma,vasodilatation,Lymphoma,Melanoma
nausea,melanoma,vasodilatation,Malaria,Melanoma
nausea,melanoma,vasodilatation,Migraine,Melanoma
nausea,melanoma,vasodilatation,Myocardial infarction,Melanoma
nausea,melanoma,vasodilatation,Neutropenia,Melanoma
nausea,melanoma,vasodilatation,Sepsis,Melanoma
nausea,melanoma,vasodilatation,Viral infection,Melanoma
nausea,melanoma,vasodilatation,"Asthma, susceptibility to, 600807",Melanoma
nausea,melanoma,vasodilatation,"C1q deficiency, type A",Melanoma
nausea,melanoma,vasodilatation,"C1q deficiency, type B",Melanoma
nausea,melanoma,vasodilatation,"C1s deficiency, isolated",Melanoma
nausea,melanoma,vasodilatation,"Dementia, vascular, susceptibility to",Melanoma
nausea,melanoma,vasodilatation,"Lupus nephritis, susceptibility to",Melanoma
nausea,melanoma,vasodilatation,"Lymphoma, progression of",Melanoma
nausea,melanoma,vasodilatation,"Malaria, cerebral, susceptibility to",Melanoma
nausea,melanoma,vasodilatation,"Migraine without aura, susceptibility to, 157300",Melanoma
nausea,melanoma,vasodilatation,"Myocardial infarction, susceptibility to",Melanoma
nausea,melanoma,vasodilatation,"Neutropenia, alloimmune neonatal",Melanoma
nausea,melanoma,vasodilatation,"Septic shock, susceptibility to",Melanoma
nausea,melanoma,vasodilatation,"Viral infections, recurrent",Melanoma
nausea,melanoma,vasodilatation,Alzheimer disease,Melanoma
nausea,melanoma,vasodilatation,"Conjunctivitis, ligneous",Melanoma
nausea,melanoma,vasodilatation,Plasminogen deficiency,Melanoma
nausea,melanoma,vasodilatation,"Alzheimer disease, late-onset, susceptibility to, 104300",Melanoma
nausea,melanoma,vasodilatation,"Conjunctivitis, ligneous, 217090",Melanoma
nausea,melanoma,vasodilatation,Plasminogen Tochigi disease,Melanoma
nausea,melanoma,vasodilatation,Glanzmann thrombasthenia,Melanoma
nausea,melanoma,vasodilatation,"Glanzmann thrombasthenia, type B",Melanoma
nausea,melanoma,vasodilatation,Atherosclerosis,Melanoma
nausea,melanoma,vasodilatation,Cortisol resistance,Melanoma
nausea,melanoma,vasodilatation,Obesity,Melanoma
nausea,melanoma,vasodilatation,"Asthma, dimished response to antileukotriene treatment in, 600807",Melanoma
nausea,melanoma,vasodilatation,"Atherosclerosis, susceptibility to",Melanoma
nausea,melanoma,vasodilatation,"Malaria, resistance to, 248310",Melanoma
nausea,melanoma,vasodilatation,"Obesity, adrenal insufficiency, and red hair",Melanoma
