drug_name,side_effect,side_effect_1,side_effect_2,side_effect_3,side_effect_4,disease_name,clinical_trial_start_date
cetuximab,somnolence,headache,cough,renal failure,carcinoma,Adenocarcinoma,2007.01.01
cetuximab,somnolence,headache,cough,renal failure,carcinoma,Complementary component deficiency,2007.01.01
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"IgG receptor I, phagocytic, familial deficiency of",2007.01.01
cetuximab,somnolence,headache,cough,renal failure,carcinoma,Lupus erythematosus,2007.01.01
cetuximab,somnolence,headache,cough,renal failure,carcinoma,Lymphoma,2007.01.01
cetuximab,somnolence,headache,cough,renal failure,carcinoma,Neutropenia,2007.01.01
cetuximab,somnolence,headache,cough,renal failure,carcinoma,Nonsmall cell lung cancer,2007.01.01
cetuximab,somnolence,headache,cough,renal failure,carcinoma,Viral infection,2007.01.01
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"Adenocarcinoma of lung, response to tyrosine kinase inhibitor in, 211980",2007.01.01
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"C1q deficiency, type A",2007.01.01
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"C1q deficiency, type B",2007.01.01
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"C1s deficiency, isolated",2007.01.01
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"Lupus nephritis, susceptibility to",2007.01.01
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"Lymphoma, progression of",2007.01.01
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"Neutropenia, alloimmune neonatal",2007.01.01
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"Nonsmall cell lung cancer, response to tyrosine kinase inhibitor in, 211980",2007.01.01
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"Viral infections, recurrent",2007.01.01
denileukin diftitox,dizziness,headache,pain,dehydration,vasodilatation,"Interleukin-2 receptor, alpha chain, deficiency of",2007.01.01
denileukin diftitox,dizziness,headache,pain,dehydration,vasodilatation,Severe combined immunodeficiency,2007.01.01
denileukin diftitox,dizziness,headache,pain,dehydration,vasodilatation,Combined immunodeficiency,2007.01.01
denileukin diftitox,dizziness,headache,pain,dehydration,vasodilatation,"Combined immunodeficiency, X-linked, moderate, 312863",2007.01.01
denileukin diftitox,dizziness,headache,pain,dehydration,vasodilatation,"Severe combined immunodeficiency, X-linked, 300400",2007.01.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Asthma,2007.09.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Asthma,2009.03.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Complementary component deficiency,2007.09.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Complementary component deficiency,2009.03.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Dementia,2007.09.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Dementia,2009.03.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"IgG receptor I, phagocytic, familial deficiency of",2007.09.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"IgG receptor I, phagocytic, familial deficiency of",2009.03.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Lupus erythematosus,2007.09.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Lupus erythematosus,2009.03.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Lymphoma,2007.09.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Lymphoma,2009.03.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Malaria,2007.09.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Malaria,2009.03.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Migraine,2007.09.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Migraine,2009.03.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Myocardial infarction,2007.09.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Myocardial infarction,2009.03.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Neutropenia,2007.09.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Neutropenia,2009.03.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Sepsis,2007.09.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Sepsis,2009.03.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Viral infection,2007.09.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,Viral infection,2009.03.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Asthma, susceptibility to, 600807",2007.09.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"Asthma, susceptibility to, 600807",2009.03.01
etanercept,dizziness,abdominal pain,nausea,melanoma,vasodilatation,"C1q deficiency, type A",2007.09.01
