drug_name,side_effect,side_effect_1,side_effect_2,side_effect_3,side_effect_4,disease_name,clinical_trial_participants
cetuximab,somnolence,headache,cough,renal failure,carcinoma,Adenocarcinoma,41
cetuximab,somnolence,headache,cough,renal failure,carcinoma,Complementary component deficiency,41
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"IgG receptor I, phagocytic, familial deficiency of",41
cetuximab,somnolence,headache,cough,renal failure,carcinoma,Lupus erythematosus,41
cetuximab,somnolence,headache,cough,renal failure,carcinoma,Lymphoma,41
cetuximab,somnolence,headache,cough,renal failure,carcinoma,Neutropenia,41
cetuximab,somnolence,headache,cough,renal failure,carcinoma,Nonsmall cell lung cancer,41
cetuximab,somnolence,headache,cough,renal failure,carcinoma,Viral infection,41
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"Adenocarcinoma of lung, response to tyrosine kinase inhibitor in, 211980",41
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"C1q deficiency, type A",41
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"C1q deficiency, type B",41
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"C1s deficiency, isolated",41
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"Lupus nephritis, susceptibility to",41
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"Lymphoma, progression of",41
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"Neutropenia, alloimmune neonatal",41
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"Nonsmall cell lung cancer, response to tyrosine kinase inhibitor in, 211980",41
cetuximab,somnolence,headache,cough,renal failure,carcinoma,"Viral infections, recurrent",41
denileukin diftitox,dizziness,headache,pain,dehydration,vasodilatation,"Interleukin-2 receptor, alpha chain, deficiency of",41
denileukin diftitox,dizziness,headache,pain,dehydration,vasodilatation,Severe combined immunodeficiency,41
denileukin diftitox,dizziness,headache,pain,dehydration,vasodilatation,Combined immunodeficiency,41
